name,g_whitep,g_websites,id,symbol,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
OneLedger,['https://docs.oneledger.io/'],['https://oneledger.io'],one-ledger,olt,1866258.0,1628.0,1000000000.0,,434601854.6326148,https://assets.coingecko.com/coins/images/3422/large/One_Ledger.jpeg?1547038108,2021-11-07T21:05:03.740Z,2020-03-13T02:15:03.984Z
Redacted,['https://redacted-cartel.gitbook.io/redacted/'],"['https://app.redacted.finance', 'https://redactedcartel.xyz']",redacted,btrfly,31810589.0,489.0,199828.739832098,,199828.739832098,https://assets.coingecko.com/coins/images/26745/large/redacted_v2.jpg?1660011507,2023-02-19T19:03:46.168Z,2022-10-25T01:56:59.875Z
SpaceN,['https://www.spacen.xyz/doc/SpaceN%20whitepaper.pdf'],['https://www.spacen.xyz/'],spacen,sn,10183608.0,898.0,1000000000.0,1000000000.0,40010000.0,https://assets.coingecko.com/coins/images/27576/large/sn.png?1664694186,2022-11-01T11:39:24.725Z,2022-10-04T18:52:03.353Z
SSV Network,[],[],ssv-network,ssv,142828006.0,188.0,11076871.0,,7085672.647228521,https://assets.coingecko.com/coins/images/19155/large/ssv.png?1638181902,2023-02-27T23:15:10.196Z,2022-06-18T20:56:57.599Z
Cortex,"['https://www.cortexlabs.ai/Cortex_AI_on_Blockchain_EN.pdf', 'https://drive.google.com/file/d/1B01q8NZC3qq_8G6kjhXh6J55h_h32qG1/view', 'https://www.youtube.com/watch?v=YKVpFQ7ghDg']",['https://www.cortexlabs.ai/'],cortex,ctxc,31031446.0,500.0,299792458.0,,212470626.765625,https://assets.coingecko.com/coins/images/3861/large/2638.png?1523930406,2018-04-30T00:29:47.162Z,2020-03-13T02:29:44.476Z
Reality Metaverse,[],['https://nft.reality.co/home/portal/building/613'],reality-metaverse,rltm,1599291.0,1690.0,1000000000.0,1000000000.0,80858024.8401682,https://assets.coingecko.com/coins/images/29806/large/rltm.png?1681362836,2023-04-17T21:45:42.175Z,2023-05-23T01:31:34.847Z
Defigram,['https://defigram.net/Defigram_Whitepaper.pdf'],['https://defigram.net/'],defigram,dfg,24519849.0,580.0,1000000000.0,1000000000.0,10000000.0,https://assets.coingecko.com/coins/images/25162/large/19590.png?1650519619,2023-02-26T15:43:21.431Z,2022-05-14T02:49:03.325Z
Glove,[],[],glove,glo,1259459.0,1810.0,3402.92140289187,,3074.92140289187,https://assets.coingecko.com/coins/images/28831/large/glo.png?1675567261,2023-02-01T06:04:49.181Z,2023-04-19T14:45:42.862Z
NAOS Finance,['https://medium.com/naos-finance/introducing-naos-finance-75d3e3a1b0ab'],['https://naos.finance/'],naos-finance,naos,1085948.0,1890.0,218183292.946451,,83229040.946451,https://assets.coingecko.com/coins/images/15144/large/bafybeibkztkshitabrf7yqqkqtbjqestjknpgv7lsjfzdsa3ufspagqs2e.ipfs.infura-ipfs.io.png?1622176770,2021-05-13T04:25:01.278Z,2022-12-21T11:14:11.563Z
Quiztok,['http://www.quiztok.com/download/qtcon_wp_en.pdf'],['http://www.quiztok.com/en/index.php'],quiztok,qtcon,7084971.0,1018.0,12000000000.0,12000000000.0,6331548892.88962,https://assets.coingecko.com/coins/images/8208/large/QTCON.png?1587543372,2020-05-05T12:39:33.012Z,2023-01-02T01:35:26.111Z
DeepBrain Chain,[],[],deepbrain-chain,dbc,9014757.0,934.0,10000000000.0,,3200000000.0,https://assets.coingecko.com/coins/images/2057/large/DeepBrainChain.png?1558013602,2018-01-09T00:00:00.000Z,2020-03-13T02:24:31.811Z
KleeKai,['https://kleerun.game/whitepaper.pdf'],['https://kleerun.game/'],kleekai,klee,1104286.0,1884.0,1e+17,,1e+17,https://assets.coingecko.com/coins/images/15548/large/Klee-Kai-Logo.png?1628258448,2021-10-29T20:20:09.608Z,2022-05-01T07:05:05.740Z
H2O Dao,[],['https://h2o.homes/home'],h2o-dao,h2o,21601544.0,618.0,1000000000.0,,225062277.0,https://assets.coingecko.com/coins/images/24588/large/M5-QvqZ8_400x400.jpg?1648226430,2022-06-02T04:17:56.939Z,2023-05-21T16:09:08.630Z
Storj,"['https://storj.io/storj.pdf', 'https://storj.io/storj2014.pdf', 'https://www.storj.io/storj.pdf', 'https://www.storj.io/whitepaper']",['https://storj.io'],storj,storj,35370992.0,456.0,424999998.0,,143787438.7,https://assets.coingecko.com/coins/images/949/large/storj.png?1547034811,2021-03-28T01:39:34.946Z,2020-03-13T02:29:53.872Z
Blitz Labs,['https://docs.blitzlabs.io/'],['https://blitzlabs.io/'],blitz-labs,blitz,2122892.0,1552.0,270000000.0,270000000.0,212448847.46,https://assets.coingecko.com/coins/images/25554/large/cmc2.png?1652421101,2022-09-28T16:56:47.675Z,2023-04-09T16:20:26.615Z
OneLedger,['https://docs.oneledger.io/'],['https://oneledger.io'],one-ledger,olt,1866258.0,1628.0,1000000000.0,,434601854.6326148,https://assets.coingecko.com/coins/images/3422/large/One_Ledger.jpeg?1547038108,2021-11-07T21:05:03.740Z,2020-03-13T02:15:03.984Z
Altura,['https://drive.google.com/file/d/1xjCoKdDAsmS2lvAcNglszxhu3l15lajb/view'],"['https://alturanft.com', 'https://app.alturanft.com']",altura,alu,20834870.0,631.0,990000000.0,990000000.0,719755021.0,https://assets.coingecko.com/coins/images/15127/large/logo-dark.png?1667292591,2021-11-03T05:27:14.786Z,2021-07-19T14:10:53.841Z
Starcoin,['https://starcoin.org/en/overview/technology_whitepaper/'],"['https://starcoin.org', 'https://starcoin.org/en']",starcoin,stc,2296380.0,1498.0,309994475.0,3185136000.0,309994475.0,https://assets.coingecko.com/coins/images/20921/large/stc.png?1655535505,2022-08-20T22:18:31.089Z,2023-05-28T18:29:16.144Z
BitDAO,['https://docs.bitdao.io/'],['https://www.bitdao.io/'],bitdao,bit,599814335.0,64.0,9610239403.0,9610239403.0,1453909315.2107098,https://assets.coingecko.com/coins/images/17627/large/rI_YptK8.png?1653983088,2021-11-12T04:54:56.433Z,2022-12-17T02:15:30.928Z
IMPT,[],['https://impt.io/'],impt,impt,6449108.0,1053.0,2761897017.0,3000000000.0,1284683710.2374222,https://assets.coingecko.com/coins/images/28486/large/IMPT_logo.png?1677543087,2022-12-15T11:19:45.671Z,2023-05-16T01:55:47.262Z
Crypterium,['https://whitepaper.io/document/134/crypterium-whitepaper'],"['https://crypterium.com', 'https://crypterium.io']",crypterium,crpt,4497673.0,1193.0,95383752.0018727,,84971023.85714284,https://assets.coingecko.com/coins/images/1901/large/crypt.png?1547036205,2018-01-28T00:00:00.000Z,2023-05-11T18:45:38.505Z
PointPay,[],['http://pointpay.me'],pointpay,pxp,5711065.0,1092.0,849998093.386393,1000000000.0,449998093.386393,https://assets.coingecko.com/coins/images/8950/large/6f9823ed-464a-4413-8940-72aa61d30b43.png?1645271610,2020-06-02T07:47:18.207Z,2020-09-16T09:58:53.348Z
Kambria,"['https://kambria.io/Kambria_White_Paper_v2_20180615.pdf', 'https://r48z5eeksx9s2hyas5b71c69-wpengine.netdna-ssl.com/wp-content/uploads/2019/07/Kambria_White_Paper_v2_20180615.pdf']",['https://kambria.io/'],kambria,kat,3902065.0,1247.0,5000000000.0,,1595256717.8195074,https://assets.coingecko.com/coins/images/4784/large/kambria.png?1547040127,2018-12-20T00:55:07.871Z,2022-04-13T08:44:31.626Z
mStable USD,['https://docs.mstable.org/'],['https://mstable.org/'],musd,musd,3466168.0,1298.0,4274242.42317358,,4274242.42317358,https://assets.coingecko.com/coins/images/11576/large/mStable_USD.png?1595591803,2022-07-25T07:15:35.139Z,2021-05-19T13:21:14.799Z
Skeb,[],[],skeb,skeb,1937226.0,1607.0,9979886009.0,10000000000.0,2357425000.0,https://assets.coingecko.com/coins/images/27155/large/skebcoin-cmc.png?1662206072,2022-12-06T09:09:36.809Z,2023-05-25T02:38:41.536Z
Multichain,['https://docs.multichain.org/'],['https://multichain.org/'],multichain,multi,62338657.0,332.0,100000000.0,,19363292.6,https://assets.coingecko.com/coins/images/22087/large/1_Wyot-SDGZuxbjdkaOeT2-A.png?1640764238,2022-01-14T12:30:34.074Z,2022-06-19T02:34:57.530Z
ParaSwap,['https://doc.paraswap.network/'],"['https://app.paraswap.io', 'https://paraswap.io']",paraswap,psp,19223024.0,655.0,2000000000.0,2000000000.0,723549997.0643697,https://assets.coingecko.com/coins/images/20403/large/ep7GqM19_400x400.jpg?1636979120,2021-11-15T13:01:54.681Z,2022-08-29T14:30:16.203Z
Mobius,[],['https://www.mobius.co/'],mobius,mobi,2144859.0,1548.0,887990859.0,,513996636.0,https://assets.coingecko.com/coins/images/1501/large/mobius.png?1548085244,2021-12-21T06:13:30.096Z,2020-03-20T08:47:25.045Z
Panther Protocol,['https://www.pantherprotocol.io/resources/panther-protocol-v-1-0-1.pdf'],['https://pantherprotocol.io/'],panther,zkp,6072936.0,1069.0,282028995.0,1000000000.0,282028995.0,https://assets.coingecko.com/coins/images/18611/large/panther.jpg?1671503084,2022-03-05T02:20:14.774Z,2022-06-13T19:36:28.102Z
BEAM,['https://docs.beam.mw/BEAM_Position_Paper_v0.2.2.pdf'],['https://www.beam.mw/'],beam,beam,4755682.0,1170.0,262800000.0,,141399720.0,https://assets.coingecko.com/coins/images/7339/large/BEAM.png?1558013729,2019-01-04T14:43:42.084Z,2023-03-25T13:06:41.786Z
